Portfolio,Scenario,Bond,Yield Shift (bps),Actual Price Change,Actual % Change,Duration-based Approx,Duration+Convexity Approx,Duration Error (%),Convexity Error (%)
balanced,Inversion_100bps,72650RAR3 Corp,-111.38693475527067,5.094616581688214,7.685044062316461,4.828770004157763,5.083752988124817,-5.218186163135314,-0.2132367252610259
aggressive,COVID_Crisis_2020,72650RAR3 Corp,144.66441418158172,-5.863299294850215,-8.844574014349357,-6.271392469896674,-5.841295761360332,6.960128666890514,-0.3752756320866827
aggressive,COVID_Crisis_2020,219023AC2 Corp,144.6549832616992,-5.854097013728122,-8.85106915559554,-6.261688123756747,-5.832117047334463,6.962493260238185,-0.37546296793707507
aggressive,COVID_Crisis_2020,00817YAG3 Corp,240.11520797341564,-18.85095033959516,-17.500141549625752,-21.464345698818597,-18.578512479102002,13.863467422828958,-1.4452208275193341
aggressive,COVID_Crisis_2020,62912XAC8 Corp,240.71118748343625,-18.819458870753735,-16.84727115407892,-21.375583539941324,-18.556222154205443,13.582349454053217,-1.398747532307495
aggressive,COVID_Crisis_2020,53079EAN4 Corp,395.34740662766524,-15.368665314893924,-20.963107782620106,-18.3074575046615,-14.933935012701884,19.121974026720217,-2.8286796106538863
aggressive,COVID_Crisis_2020,88732JAJ7 Corp,392.3797186536215,-25.43963978817412,-25.548643002442606,-31.05953821978099,-24.511325152547347,22.091108515692657,-3.6490871858111356
aggressive,Inflation_Hike_2022,72650RAR3 Corp,364.65236379766424,-13.405996983025005,-20.222459504438085,-15.80815918958633,-13.075403797617794,17.918564427569247,-2.4660096957042192
aggressive,Inflation_Hike_2022,219023AC2 Corp,364.6132208223002,-13.38404400437905,-20.235930287197412,-15.78303230976348,-13.053846795986908,17.924241018630234,-2.467095956081029
aggressive,Inflation_Hike_2022,00817YAG3 Corp,378.59782713111275,-27.690044187145162,-25.705849522748192,-33.843564974291326,-26.66912299599573,22.222863732383917,-3.686961220608621
aggressive,Inflation_Hike_2022,62912XAC8 Corp,380.16157652974834,-27.718246706036297,-24.81350932454019,-33.759027250640806,-26.72677182880287,21.793516049804794,-3.5769754405768706
aggressive,Inflation_Hike_2022,53079EAN4 Corp,437.00557020594806,-16.694976574901453,-22.772217768891707,-20.236533164818574,-16.114611188642897,21.21330673348385,-3.4762875147189716
aggressive,Inflation_Hike_2022,88732JAJ7 Corp,429.7181095709428,-27.366859114222464,-27.484120035867655,-34.015127218470845,-26.161378312110763,24.293135271753922,-4.404892783202939
aggressive,Parallel_Up_100bps,72650RAR3 Corp,100.00000000021741,-4.136982415172298,-6.240487706160646,-4.335131418040723,-4.129616811662102,4.789698939539071,-0.17804290110546428
aggressive,Parallel_Up_100bps,219023AC2 Corp,100.00000000022324,-4.130774375096358,-6.245501154900715,-4.328705435914737,-4.12341522859263,4.791621203318861,-0.17815416276655655
aggressive,Parallel_Up_100bps,00817YAG3 Corp,99.99999999999953,-8.459283386640834,-7.853113716164582,-8.939186268116313,-8.438654215726725,5.673091437430221,-0.24386428461171225
aggressive,Parallel_Up_100bps,62912XAC8 Corp,99.99999999999898,-8.41337312986758,-7.531692564210475,-8.880178675289862,-8.393594258096336,5.548375642168025,-0.2350884890749575
aggressive,Parallel_Up_100bps,53079EAN4 Corp,100.00000000006449,-4.422552258666656,-6.0324327306973435,-4.630726595840582,-4.4148896328618985,4.707108587942126,-0.17326252707904394
aggressive,Parallel_Up_100bps,88732JAJ7 Corp,100.00000000000064,-7.507236115170301,-7.539402956903901,-7.915683900879549,-7.490369880621945,5.44072118477631,-0.22466636575174007
aggressive,Parallel_Up_200bps,72650RAR3 Corp,199.99999999999963,-7.905403594987511,-11.92501417599163,-8.67026283606258,-7.848204410551673,9.67514475238221,-0.7235454047166732
aggressive,Parallel_Up_200bps,219023AC2 Corp,200.00000000000185,-7.8933988512014395,-11.9343801342625,-8.657410871810228,-7.836250042525448,9.679126001500606,-0.7240076138721052
aggressive,Parallel_Up_200bps,00817YAG3 Corp,200.00000000000156,-16.035790804461058,-14.886708833390431,-17.87837253623285,-15.876244326674447,11.49043258446098,-0.9949398799978486
aggressive,Parallel_Up_200bps,62912XAC8 Corp,199.99999999999616,-15.967044196027402,-14.293775657794033,-17.760357350579564,-15.814019681805492,11.231340832627861,-0.9583772196232928
aggressive,Parallel_Up_200bps,53079EAN4 Corp,200.00000000000156,-8.457621809147923,-11.536332787336134,-9.261453191675265,-8.398105339761628,9.504224717850386,-0.7037021840101833
aggressive,Parallel_Up_200bps,88732JAJ7 Corp,199.99999999999545,-14.260715818425368,-14.321819822842144,-15.831367801758638,-14.130111720728321,11.013836916264264,-0.9158312903781558
aggressive,Parallel_Down_100bps,72650RAR3 Corp,-100.00000000000078,4.548478758195515,6.861214992877793,4.335131418031332,4.540646024409063,-4.690520754434006,-0.17220557032037426
aggressive,Parallel_Down_100bps,219023AC2 Corp,-100.00000000000009,4.541821576943292,6.8669816669642305,4.328705435905078,4.53399564322627,-4.692305442382533,-0.17230825968045396
aggressive,Parallel_Down_100bps,00817YAG3 Corp,-99.99999999962407,9.461848664175477,8.783837841660997,8.93918626808275,9.439718320468579,-5.523893000652561,-0.23389027337425436
aggressive,Parallel_Down_100bps,62912XAC8 Corp,-100.00000000000126,9.387965268559498,8.404152189003014,8.880178675290065,9.366763092483614,-5.408910011310134,-0.22584421085248288
aggressive,Parallel_Down_100bps,53079EAN4 Corp,-99.99999999999982,4.854709095796608,6.621901638382638,4.630726595837587,4.846563558815992,-4.613716198833683,-0.16778630438779724
aggressive,Parallel_Down_100bps,88732JAJ7 Corp,-100.00000000000016,8.359043840245576,8.394860489159823,7.915683900879511,8.340997921137111,-5.303955187212414,-0.21588496786654723
aggressive,Bull_Steepener_100bps,72650RAR3 Corp,32.12535007802497,-1.3717155289463676,-2.0691830507534172,-1.3926761443850029,-1.3714662536337325,1.5280584783300788,-0.018172522463644435
aggressive,Bull_Steepener_100bps,219023AC2 Corp,32.13938506617969,-1.370263443251602,-2.071762129866142,-1.391219308426184,-1.3700140602641873,1.5293311135013608,-0.018199638080036416
aggressive,Bull_Steepener_100bps,00817YAG3 Corp,36.09348837353976,-3.1622494743467655,-2.935651116753539,-3.226464156371639,-3.161257848635257,2.03066464381779,-0.031358237847859585
aggressive,Bull_Steepener_100bps,62912XAC8 Corp,35.43562635062711,-3.086547027002851,-2.763091917299668,-3.1467469346438155,-3.0856473266521416,1.9503965795531972,-0.029149089349306007
aggressive,Bull_Steepener_100bps,53079EAN4 Corp,31.522337522531252,-1.438511470906164,-1.9621528866216604,-1.4597132672855486,-1.4382664599074604,1.4738705118582753,-0.017032258946757934
aggressive,Bull_Steepener_100bps,88732JAJ7 Corp,34.781784085205906,-2.702488015924615,-2.7140675776916328,-2.7532160832713117,-2.701762762537603,1.8770875966064446,-0.026836507053453612
aggressive,Bear_Flattener_100bps,72650RAR3 Corp,67.91118956920388,-2.851586781206109,-4.3015150815974135,-2.9440393153733515,-2.8492574243227975,3.2421434541837395,-0.08168634034438
