,806605AH4 Corp,532457BA5 Corp,665772CC1 Corp,557497AR5 Corp,693304AJ6 Corp,69351UAK9 Corp,12189TAZ7 Corp,65334HAG7 Corp,046353AD0 Corp
Company,Merck & Co Inc,Eli Lilly & Co,Northern States Power Co/MN,Madison Gas and Electric Co,PECO Energy Co,PPL Electric Utilities Corp,Burlington Northern Santa Fe LLC,CNOOC Petroleum North America ULC,AstraZeneca PLC
Ticker,MRK,LLY,XEL,MGEE,EXC,PPL,BNSF,CNOOC,AZN
Rating,A+,A+,A+,A+,A+,A+,A+,A+,A+
Issue Date,2007-09-17 00:00:00,2007-03-14 00:00:00,2007-06-26 00:00:00,2007-09-19 00:00:00,2007-03-19 00:00:00,2007-08-13 00:00:00,2007-04-13 00:00:00,2007-05-04 00:00:00,2007-09-12 00:00:00
Maturity Date,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-07-01 00:00:00,2037-09-15 00:00:00,2037-03-15 00:00:00,2037-08-15 00:00:00,2037-05-01 00:00:00,2037-05-15 00:00:00,2037-09-15 00:00:00
2023-08-01 00:00:00,79.679,106.232,79.679,79.679,99.78,105.358,109.3,109.085,79.679
2023-08-02 00:00:00,79.221,105.556,79.221,79.221,99.604,104.756,108.645,108.552,79.221
2023-08-03 00:00:00,79.058,104.487,79.058,79.058,97.828,103.803,107.362,107.522,79.058
2023-08-04 00:00:00,79.22,106.213,79.22,79.22,95.292,104.837,108.986,109.037,79.22
2023-08-07 00:00:00,79.619,105.754,79.619,79.619,95.724,104.686,108.658,108.616,79.619
2023-08-08 00:00:00,79.222,106.454,79.222,79.222,96.153,104.971,109.234,109.292,79.222
2023-08-09 00:00:00,78.945,106.562,78.945,78.945,96.487,105.171,109.205,109.418,78.945
2023-08-10 00:00:00,78.987,105.674,78.987,78.987,95.363,103.657,108.202,108.412,78.987
2023-08-11 00:00:00,79.3,104.883,79.3,79.3,94.582,103.401,107.835,107.933,79.3
2023-08-14 00:00:00,79.03,104.601,79.03,79.03,96.095,103.486,107.57,107.539,79.03
2023-08-15 00:00:00,79.119,104.905,79.119,79.119,95.295,102.954,107.322,107.332,79.119
2023-08-16 00:00:00,79.246,104.566,79.246,79.246,92.942,102.298,107.143,106.998,79.246
2023-08-17 00:00:00,78.932,103.817,78.932,78.932,93.85,101.959,106.395,106.595,78.932
2023-08-18 00:00:00,78.159,104.161,78.159,78.159,91.72,102.321,106.84,105.721,78.159
2023-08-21 00:00:00,77.897,103.697,77.897,77.897,91.247,101.625,106.014,105.617,77.897
2023-08-22 00:00:00,77.702,104.247,77.702,77.702,91.713,101.941,106.552,105.922,77.702
2023-08-23 00:00:00,77.798,105.977,77.798,77.798,94.979,103.763,107.983,107.16,77.798
2023-08-24 00:00:00,77.007,104.607,77.007,77.007,94.86,103.261,107.557,106.742,77.007
2023-08-25 00:00:00,76.879,104.661,76.879,76.879,94.626,103.316,107.841,106.811,76.879
2023-08-28 00:00:00,77.296,105.111,77.296,77.296,95.051,103.624,108.107,106.888,77.296
2023-08-29 00:00:00,76.854,105.949,76.854,76.854,96.236,104.242,108.98,107.636,76.854
2023-08-30 00:00:00,77.497,105.407,77.497,77.497,96.276,104.37,109.078,107.821,77.497
2023-08-31 00:00:00,77.847,105.697,77.847,77.847,96.486,104.486,108.849,107.709,77.847
2023-09-01 00:00:00,78.906,106.269,78.906,78.906,95.671,103.511,108.12,107.108,78.906
2023-09-05 00:00:00,78.424,104.469,78.424,78.424,93.18,103.203,107.37,107.172,78.424
2023-09-06 00:00:00,78.491,104.133,78.491,78.491,93.055,102.785,107.219,106.292,78.491
2023-09-07 00:00:00,78.042,104.846,78.042,78.042,93.02,103.141,107.51,106.548,78.042
2023-09-08 00:00:00,78.785,104.841,78.785,78.785,92.995,103.091,107.577,106.437,78.785
2023-09-11 00:00:00,77.996,104.322,77.996,77.996,92.79,102.74,107.329,106.202,77.996
2023-09-12 00:00:00,78.586,104.507,78.586,78.586,92.904,102.876,107.466,106.326,78.586
2023-09-13 00:00:00,79.553,105.286,79.553,79.553,92.984,103.081,107.397,106.533,79.553
2023-09-14 00:00:00,80.177,105.183,80.177,80.177,92.78,103.054,107.24,106.22,80.177
2023-09-15 00:00:00,80.402,104.237,80.402,80.402,92.485,102.642,107.091,105.882,80.402
2023-09-18 00:00:00,80.28,104.523,80.28,80.28,91.608,102.863,107.391,106.172,80.28
2023-09-19 00:00:00,79.239,103.954,79.239,79.239,92.277,102.608,106.74,105.607,79.239
2023-09-20 00:00:00,79.31,103.23,79.31,79.31,94.078,102.636,106.784,105.196,79.31
