,670346AH8 Corp,94973VAN7 Corp,15189WAD2 Corp,02364WAP0 Corp,759509AB8 Corp,761713AT3 Corp,13645RAF1 Corp,98417EAC4 Corp,58013MEC4 Corp,744533BJ8 Corp,976826BE6 Corp,15361GAQ8 Corp,476556CX1 Corp,548661CP0 Corp,867229AE6 Corp,88579EAC9 Corp,75913MAA7 Corp,126408GK3 Corp,74834LAN0 Corp,92343VAF1 Corp,037735CK1 Corp,38141GFD1 Corp
Company,Nucor Corp,Elevance Health Inc,CenterPoint Energy Resources Corp,America Movil SAB de CV,Reliance Inc,Reynolds American Inc,Canadian Pacific Railway Co,Glencore Finance Canada Ltd,McDonald's Corp,Public Service Co of Oklahoma,Wisconsin Power and Light Co,Central Hudson Gas & Electric Corp,Jersey Central Power & Light Co,Lowe's Cos Inc,Suncor Energy Inc,3M Co,Regions Bank/Birmingham AL,CSX Corp,Quest Diagnostics Inc,Verizon Communications Inc,Appalachian Power Co,Goldman Sachs Group Inc/The
Ticker,NUE,ELV,CNP,AMXLMM,RS,BATSLN,CP,GLENLN,MCD,AEP,LNT,FTSCN,FE,LOW,SUCN,MMM,RF,CSX,DGX,VZ,AEP,GS
Rating,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+
Issue Date,2007-12-03 00:00:00,2007-06-08 00:00:00,2007-10-23 00:00:00,2007-10-30 00:00:00,2007-03-30 00:00:00,2007-06-21 00:00:00,2007-05-08 00:00:00,2007-11-20 00:00:00,2007-10-18 00:00:00,2007-11-14 00:00:00,2007-08-15 00:00:00,2007-03-23 00:00:00,2007-12-13 00:00:00,2007-09-11 00:00:00,2007-06-28 00:00:00,2007-03-29 00:00:00,2007-06-26 00:00:00,2007-04-25 00:00:00,2007-06-22 00:00:00,2007-04-03 00:00:00,2007-08-17 00:00:00,2007-10-03 00:00:00
Maturity Date,2037-12-01 00:00:00,2037-06-15 00:00:00,2037-11-01 00:00:00,2037-11-15 00:00:00,2036-11-15 00:00:00,2037-06-15 00:00:00,2037-05-15 00:00:00,2037-11-15 00:00:00,2037-10-15 00:00:00,2037-11-15 00:00:00,2037-08-15 00:00:00,2037-03-23 00:00:00,2037-06-01 00:00:00,2037-09-15 00:00:00,2038-06-15 00:00:00,2037-03-15 00:00:00,2037-06-26 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-04-01 00:00:00,2037-08-15 00:00:00,2037-10-01 00:00:00
2015-11-18 00:00:00,62.273,62.273,62.273,112.136,62.273,62.273,113,82.975,117.545,120.899,128.482,62.273,62.273,128.839,119.155,62.273,62.273,62.273,62.273,112.691,62.273,119.605
2015-11-19 00:00:00,61.502,61.502,61.502,112.847,61.502,61.502,113.731,83.392,117.738,121.674,129.373,61.502,61.502,129.398,120.311,61.502,61.502,61.502,61.502,113.008,61.502,119.997
2015-11-20 00:00:00,60.188,60.188,60.188,112.822,60.188,60.188,113.704,82.855,117.949,121.644,129.352,60.188,60.188,129.364,120.279,60.188,60.188,60.188,60.188,113.306,60.188,120.014
2015-11-23 00:00:00,60.4,60.4,60.4,112.672,60.4,60.4,113.745,82.77,117.966,121.508,127.947,60.4,60.4,129.426,120.065,60.4,60.4,60.4,60.4,113.785,60.4,120.498
2015-11-25 00:00:00,59.247,59.247,59.247,112.555,59.247,59.247,113.673,82.719,117.674,121.401,127.839,59.247,59.247,129.347,119.611,59.247,59.247,59.247,59.247,113.875,59.247,120.359
2015-11-27 00:00:00,59.438,59.438,59.438,112.736,59.438,59.438,113.855,82.841,117.909,121.589,128.059,59.438,59.438,129.549,119.853,59.438,59.438,59.438,59.438,114.099,59.438,120.54
2015-11-30 00:00:00,61.349,61.349,61.349,112.878,61.349,61.349,113.25,82.496,117.151,121.783,128.27,61.349,61.349,129.565,120.055,61.349,61.349,61.349,61.349,114.379,61.349,119.962
2015-12-01 00:00:00,62.257,62.257,62.257,113.662,62.257,62.257,113.949,82.79,117.798,122.518,129.06,62.257,62.257,130.378,121.162,62.257,62.257,62.257,62.257,115.085,62.257,120.592
2015-12-02 00:00:00,61.359,61.359,61.359,113.148,61.359,61.359,113.762,82.59,117.319,121.936,128.482,61.359,61.359,130.277,121.238,61.359,61.359,61.359,61.359,114.34,61.359,120.512
2015-12-03 00:00:00,61.401,61.401,61.401,111.374,61.401,61.401,112.032,81.125,116.853,120.065,126.434,61.401,61.401,128.429,119.601,61.401,61.401,61.401,61.401,112.941,61.401,118.308
2015-12-04 00:00:00,59.799,59.799,59.799,112.093,59.799,59.799,112.131,81.355,118.203,120.507,126.919,59.799,59.799,129.067,120.218,59.799,59.799,59.799,59.799,113.517,59.799,118.904
2015-12-07 00:00:00,57.775,57.775,57.775,112.512,57.775,57.775,112.592,81.616,118.946,120.982,127.458,57.775,57.775,129.712,120.634,57.775,57.775,57.775,57.775,114.058,57.775,119.371
2015-12-08 00:00:00,58.284,58.284,58.284,111.818,58.284,58.284,112.616,81.628,118.704,121.019,127.483,58.284,58.284,129.737,119.062,58.284,58.284,58.284,58.284,114.006,58.284,118.945
2015-12-09 00:00:00,57.728,57.728,57.728,111.563,57.728,57.728,112.489,81.576,118.244,120.887,127.334,57.728,57.728,129.588,119.069,57.728,57.728,57.728,57.728,113.323,57.728,119.025
2015-12-10 00:00:00,56.552,56.552,56.552,111.18,56.552,56.552,112.326,81.239,118.335,120.294,126.79,56.552,56.552,129.649,118.657,56.552,56.552,56.552,56.552,112.669,56.552,118.294
2015-12-11 00:00:00,53.661,53.661,53.661,112.214,53.661,53.661,113.689,79.303,118.755,121.583,128.192,53.661,53.661,131.34,119.714,53.661,53.661,53.661,53.661,113.516,53.661,118.186
2015-12-14 00:00:00,53.732,53.732,53.732,110.037,53.732,53.732,112.981,77.017,117.329,120.926,127.478,53.732,53.732,129.673,117.213,53.732,53.732,53.732,53.732,111.598,53.732,116.818
2015-12-15 00:00:00,54.676,54.676,54.676,109.908,54.676,54.676,112.118,76.67,116.743,120.217,126.702,54.676,54.676,129.006,115.802,54.676,54.676,54.676,54.676,112.245,54.676,117.286
2015-12-16 00:00:00,54.432,54.432,54.432,109.996,54.432,54.432,111.806,76.857,117.076,119.863,126.334,54.432,54.432,129.396,113.277,54.432,54.432,54.432,54.432,112.048,54.432,117.166
2015-12-17 00:00:00,52.826,52.826,52.826,111.154,52.826,52.826,112.672,77.792,118.32,120.657,127.194,52.826,52.826,130.46,112.623,52.826,52.826,52.826,52.826,113.007,52.826,119.047
2015-12-18 00:00:00,48.134,48.134,48.134,111.332,48.134,48.134,112.786,77.844,118.437,120.756,127.3,48.134,48.134,130.579,112.361,48.134,48.134,48.134,48.134,112.808,48.134,119.088
2015-12-21 00:00:00,49.592,49.592,49.592,111.79,49.592,49.592,112.837,78.717,119,120.804,127.42,49.592,49.592,130.786,110.313,49.592,49.592,49.592,49.592,113.738,49.592,118.661
2015-12-22 00:00:00,52.286,52.286,52.286,111.181,52.286,52.286,112.294,78.448,118.414,120.236,128.092,52.286,52.286,130.16,108.031,52.286,52.286,52.286,52.286,112.492,52.286,118.036
2015-12-23 00:00:00,58.571,58.571,58.571,110.748,58.571,58.571,112.085,78.33,118.152,120.01,127.846,58.571,58.571,129.829,108.38,58.571,58.571,58.571,58.571,111.901,58.571,117.449
2015-12-24 00:00:00,57.164,57.164,57.164,111.14,57.164,57.164,112.488,78.542,118.539,120.438,128.319,57.164,57.164,130.303,108.965,57.164,57.164,57.164,57.164,112.341,57.164,117.903
