,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
Maturity Date,2037-08-01 00:00:00,2037-05-01 00:00:00,2037-07-01 00:00:00,2037-11-30 00:00:00,2037-03-05 00:00:00
2016-10-20 00:00:00,144.327,68.705,68.705,68.705,68.705
2016-12-06 00:00:00,135.651,76.752,76.752,76.752,76.752
2016-12-07 00:00:00,136.49,77.446,77.446,77.446,77.446
2016-12-08 00:00:00,135.008,79.287,79.287,79.287,79.287
2016-12-09 00:00:00,134.015,80.049,80.049,80.049,80.049
2016-12-12 00:00:00,134.213,82.645,82.645,82.645,82.645
2016-12-13 00:00:00,134.686,83.341,83.341,83.341,83.341
2016-12-14 00:00:00,134.484,83.307,83.307,83.307,83.307
2016-12-15 00:00:00,134.482,81.094,81.094,81.094,81.094
2016-12-16 00:00:00,134.23,81.477,81.477,81.477,81.477
2016-12-19 00:00:00,135.116,80.844,80.844,80.844,80.844
2016-12-20 00:00:00,134.985,78.883,78.883,78.883,78.883
2016-12-21 00:00:00,135.457,76.873,76.873,76.873,76.873
2016-12-22 00:00:00,135.323,80.249,80.249,80.249,80.249
2016-12-23 00:00:00,135.458,80.019,80.019,80.019,80.019
2016-12-27 00:00:00,134.703,79.197,79.197,79.197,79.197
2016-12-28 00:00:00,135.495,78.396,78.396,78.396,78.396
2016-12-29 00:00:00,136.119,78.242,78.242,78.242,78.242
2016-12-30 00:00:00,136.6,78.594,78.594,78.594,78.594
2017-01-03 00:00:00,137.24,79.906,79.906,79.906,79.906
2017-01-04 00:00:00,137.627,81.092,81.092,81.092,81.092
2017-01-05 00:00:00,138.918,82.505,82.505,82.505,82.505
2017-01-06 00:00:00,137.606,82.527,82.527,82.527,82.527
2017-01-09 00:00:00,138.542,81.518,81.518,81.518,81.518
2017-01-10 00:00:00,138.26,80.169,80.169,80.169,80.169
2017-01-11 00:00:00,138.493,79.613,79.613,79.613,79.613
2017-01-12 00:00:00,138.311,80.381,80.381,80.381,80.381
2017-01-13 00:00:00,137.695,79.922,79.922,79.922,79.922
2017-01-17 00:00:00,138.912,79.901,79.901,79.901,79.901
2017-01-18 00:00:00,137.315,79.343,79.343,79.343,79.343
2017-01-19 00:00:00,136.369,78.805,78.805,78.805,78.805
2017-01-20 00:00:00,136.258,79.111,79.111,79.111,79.111
2017-01-23 00:00:00,137.197,78.464,78.464,78.464,78.464
2017-01-24 00:00:00,136.266,78.724,78.724,78.724,78.724
2017-01-25 00:00:00,135.215,80.706,80.706,80.706,80.706
2017-02-06 00:00:00,137.724,80.578,80.578,80.578,80.578
2017-02-07 00:00:00,138.291,80.467,80.467,80.467,80.467
2017-02-08 00:00:00,139.503,79.494,79.494,79.494,79.494
2017-02-09 00:00:00,138.467,79.201,79.201,79.201,79.201
2017-02-10 00:00:00,138.288,79.828,79.828,79.828,79.828
2017-02-13 00:00:00,137.695,79.611,79.611,79.611,79.611
2017-02-14 00:00:00,136.956,80.085,80.085,80.085,80.085
2017-02-15 00:00:00,136.579,79.534,79.534,79.534,79.534
2017-02-16 00:00:00,137.014,79.15,79.15,79.15,79.15
2017-02-17 00:00:00,137.316,79.345,79.345,79.345,79.345
2017-02-21 00:00:00,136.609,79.895,79.895,79.895,79.895
2017-02-22 00:00:00,137.571,80.129,80.129,80.129,80.129
2017-02-23 00:00:00,138.112,82.255,82.255,82.255,82.255
2017-02-24 00:00:00,139.279,83.069,83.069,83.069,83.069
2017-02-27 00:00:00,138.56,82.26,82.26,82.26,82.26
2017-02-28 00:00:00,137.268,81.263,81.263,81.263,81.263
2017-03-01 00:00:00,136.872,82.633,82.633,82.633,82.633
2017-03-02 00:00:00,136.483,81.92,81.92,81.92,81.92
2017-03-03 00:00:00,136.634,81.719,81.719,81.719,81.719
2017-03-06 00:00:00,136.499,81.031,81.031,81.031,81.031
2017-03-07 00:00:00,136.349,79.439,79.439,79.439,79.439
2017-03-08 00:00:00,135.56,77.141,77.141,77.141,77.141
2017-03-09 00:00:00,134.548,75.816,75.816,75.816,75.816
2017-03-10 00:00:00,134.952,77.194,77.194,77.194,77.194
2017-03-13 00:00:00,134.126,78.029,78.029,78.029,78.029
2017-03-14 00:00:00,134.65,76.939,76.939,76.939,76.939
2017-03-15 00:00:00,136.211,80.539,80.539,80.539,80.539
2017-03-16 00:00:00,135.449,79.461,79.461,79.461,79.461
2017-03-17 00:00:00,135.987,79.994,79.994,79.994,79.994
2017-03-20 00:00:00,136.698,78.953,78.953,78.953,78.953
2017-03-21 00:00:00,137.539,77.416,77.416,77.416,77.416
2017-03-22 00:00:00,137.712,76.75,76.75,76.75,76.75
2017-03-23 00:00:00,137.294,77.333,77.333,77.333,77.333
2017-03-24 00:00:00,137.387,78.663,78.663,78.663,78.663
2017-03-27 00:00:00,138.138,77.978,77.978,77.978,77.978
2017-03-28 00:00:00,137.384,79.137,79.137,79.137,79.137
2017-03-29 00:00:00,138.16,81.636,81.636,81.636,81.636
2017-03-30 00:00:00,137.26,82.611,82.611,82.611,82.611
2017-03-31 00:00:00,137.679,82.629,82.629,82.629,82.629
2017-04-03 00:00:00,138.916,82.843,82.843,82.843,82.843
2017-04-04 00:00:00,138.182,82.811,82.811,82.811,82.811
2017-04-05 00:00:00,138.651,82.605,82.605,82.605,82.605
2017-04-06 00:00:00,138.028,82.624,82.624,82.624,82.624
2017-04-07 00:00:00,137.522,82.575,82.575,82.575,82.575
2017-04-10 00:00:00,137.812,82.894,82.894,82.894,82.894
2017-04-11 00:00:00,139.109,82.244,82.244,82.244,82.244
2017-04-12 00:00:00,139.946,82.285,82.285,82.285,82.285
2017-04-13 00:00:00,139.8,81.601,81.601,81.601,81.601
2017-04-17 00:00:00,139.767,81.085,81.085,81.085,81.085
