,88732JAJ7 Corp,314275AC2 Corp,53079EAN4 Corp,53079EAN4 Corp_3,92553PAC6 Corp
Company,Time Warner Cable LLC,Macy's Retail Holdings LLC,Liberty Mutual Group Inc,Liberty Mutual Group Inc,Paramount Global
Ticker,CHTR,M,LIBMUT,LIBMUT,PARA
Rating,BB+,BB+,BB+,BB+,BB+
Issue Date,2007-10-30 00:00:00,2007-03-12 00:00:00,2007-03-07 00:00:00,2007-03-07 00:00:00,2007-10-05 00:00:00
Maturity Date,2037-05-01 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-03-15 00:00:00,2037-10-05 00:00:00
2015-10-01 00:00:00,11.507,11.507,11.507,11.507,11.507
2015-10-02 00:00:00,11.155,11.155,11.155,11.155,11.155
2015-10-05 00:00:00,10.948,10.948,10.948,10.948,10.948
2015-10-06 00:00:00,10.443,10.443,10.443,10.443,10.443
2015-10-07 00:00:00,10.79,10.79,10.79,10.79,10.79
2015-10-08 00:00:00,10.636,10.636,10.636,10.636,10.636
2015-10-09 00:00:00,10.793,10.793,10.793,10.793,10.793
2015-10-13 00:00:00,10.872,10.872,10.872,10.872,10.872
2015-10-14 00:00:00,11.107,11.107,11.107,11.107,11.107
2015-10-15 00:00:00,11.086,11.086,11.086,11.086,11.086
2015-10-16 00:00:00,11.008,11.008,11.008,11.008,11.008
2015-10-19 00:00:00,11.08,11.08,11.08,11.08,11.08
2015-10-20 00:00:00,11.168,11.168,11.168,11.168,11.168
2015-10-21 00:00:00,11.228,11.228,11.228,11.228,11.228
2015-10-22 00:00:00,10.945,10.945,10.945,10.945,10.945
2015-10-23 00:00:00,11.288,11.288,11.288,11.288,11.288
2015-10-26 00:00:00,11.445,11.445,11.445,11.445,11.445
2015-10-27 00:00:00,11.508,11.508,11.508,11.508,11.508
2015-10-28 00:00:00,11.437,11.437,11.437,11.437,11.437
2015-10-29 00:00:00,11.293,11.293,11.293,11.293,11.293
2015-10-30 00:00:00,11.202,11.202,11.202,11.202,11.202
2015-11-02 00:00:00,10.988,10.988,10.988,10.988,10.988
2015-11-03 00:00:00,10.748,10.748,10.748,10.748,10.748
2015-11-04 00:00:00,10.741,10.741,10.741,10.741,10.741
2015-11-05 00:00:00,11.076,11.076,11.076,11.076,11.076
2015-11-06 00:00:00,11.23,11.23,11.23,11.23,11.23
2015-11-09 00:00:00,11.498,11.498,11.498,11.498,11.498
2015-11-10 00:00:00,11.47,11.47,11.47,11.47,11.47
2015-11-12 00:00:00,11.662,11.662,11.662,11.662,11.662
2015-11-13 00:00:00,11.7,11.7,11.7,11.7,11.7
2015-11-16 00:00:00,11.678,11.678,11.678,11.678,11.678
2015-11-17 00:00:00,11.672,11.672,11.672,11.672,11.672
2015-11-18 00:00:00,11.538,11.538,11.538,11.538,11.538
2015-11-19 00:00:00,11.683,11.683,11.683,11.683,11.683
2015-11-20 00:00:00,11.936,11.936,11.936,11.936,11.936
2015-11-23 00:00:00,11.895,11.895,11.895,11.895,11.895
2015-11-24 00:00:00,11.692,11.692,11.692,11.692,11.692
2015-11-25 00:00:00,12.124,12.124,12.124,12.124,12.124
2015-11-27 00:00:00,12.086,12.086,12.086,12.086,12.086
2015-11-30 00:00:00,11.713,11.713,11.713,11.713,11.713
2015-12-01 00:00:00,11.543,11.543,11.543,11.543,11.543
2015-12-02 00:00:00,11.712,11.712,11.712,11.712,11.712
2015-12-03 00:00:00,11.704,11.704,11.704,11.704,11.704
2015-12-04 00:00:00,12.015,12.015,12.015,12.015,12.015
