,98385XAM8 Corp,341081EY9 Corp,70213HAA6 Corp,002819AC4 Corp,742718DF3 Corp
Company,XTO Energy Inc,Florida Power & Light Co,Mass General Brigham Inc,Abbott Laboratories,Procter & Gamble Co/The
Ticker,XOM,NEE,PARHC,ABT,PG
Rating,AA-,AA-,AA-,AA-,AA-
Issue Date,2007-07-19 00:00:00,2007-04-17 00:00:00,2007-06-28 00:00:00,2007-11-09 00:00:00,2007-03-05 00:00:00
2016-05-05 00:00:00,3.814,12.976,12.976,12.976,12.976
2016-05-06 00:00:00,3.833,12.606,12.606,12.606,12.606
2016-05-09 00:00:00,3.803,12.849,12.849,12.849,12.849
2016-05-10 00:00:00,3.813,12.546,12.546,12.546,12.546
2016-05-11 00:00:00,3.784,12.437,12.437,12.437,12.437
2016-05-12 00:00:00,3.81,12.178,12.178,12.178,12.178
2016-05-13 00:00:00,3.672,12.336,12.336,12.336,12.336
2016-05-16 00:00:00,3.717,12.043,12.043,12.043,12.043
2016-05-17 00:00:00,3.735,12.296,12.296,12.296,12.296
2016-05-18 00:00:00,3.782,12.585,12.585,12.585,12.585
2016-05-19 00:00:00,3.778,12.57,12.57,12.57,12.57
2016-05-20 00:00:00,3.769,12.375,12.375,12.375,12.375
2016-05-23 00:00:00,3.769,12.639,12.639,12.639,12.639
2016-05-24 00:00:00,3.789,12.513,12.513,12.513,12.513
2016-05-25 00:00:00,3.803,12.307,12.307,12.307,12.307
2016-05-26 00:00:00,3.773,12.386,12.386,12.386,12.386
2016-05-27 00:00:00,3.793,12.223,12.223,12.223,12.223
2016-05-31 00:00:00,3.783,12.379,12.379,12.379,12.379
2016-06-01 00:00:00,3.765,12.457,12.457,12.457,12.457
2016-06-02 00:00:00,3.741,12.365,12.365,12.365,12.365
2016-06-03 00:00:00,3.648,12.091,12.091,12.091,12.091
2016-06-06 00:00:00,3.705,11.777,11.777,11.777,11.777
2016-06-07 00:00:00,3.677,11.192,11.192,11.192,11.192
2016-06-08 00:00:00,3.648,11.394,11.394,11.394,11.394
2016-07-07 00:00:00,3.303,11.501,11.501,11.501,11.501
2016-07-08 00:00:00,3.257,11.586,11.586,11.586,11.586
2016-07-11 00:00:00,3.316,11.51,11.51,11.51,11.51
2016-07-12 00:00:00,3.396,11.302,11.302,11.302,11.302
2016-07-13 00:00:00,3.324,11.493,11.493,11.493,11.493
2016-07-14 00:00:00,3.389,11.35,11.35,11.35,11.35
2016-07-15 00:00:00,3.404,11.362,11.362,11.362,11.362
2016-07-18 00:00:00,3.429,11.43,11.43,11.43,11.43
2016-07-19 00:00:00,3.428,11.371,11.371,11.371,11.371
2016-07-20 00:00:00,3.466,11.366,11.366,11.366,11.366
2016-07-21 00:00:00,3.478,11.183,11.183,11.183,11.183
2016-07-22 00:00:00,3.474,11.321,11.321,11.321,11.321
2016-07-25 00:00:00,3.482,11.563,11.563,11.563,11.563
2016-07-26 00:00:00,3.464,11.758,11.758,11.758,11.758
2016-07-27 00:00:00,3.402,11.92,11.92,11.92,11.92
2016-07-28 00:00:00,3.404,12.057,12.057,12.057,12.057
2016-09-23 00:00:00,3.664,11.272,11.272,11.272,11.272
2016-09-26 00:00:00,3.633,11.343,11.343,11.343,11.343
2016-09-27 00:00:00,3.595,11.449,11.449,11.449,11.449
2016-09-28 00:00:00,3.61,11.116,11.116,11.116,11.116
2016-09-29 00:00:00,3.61,11.162,11.162,11.162,11.162
2016-10-18 00:00:00,3.659,10.646,10.646,10.646,10.646
2016-10-19 00:00:00,3.664,10.574,10.574,10.574,10.574
2016-10-20 00:00:00,3.678,10.498,10.498,10.498,10.498
2016-12-06 00:00:00,4.159,9.332,9.332,9.332,9.332
2016-12-07 00:00:00,4.11,9.24,9.24,9.24,9.24
2016-12-08 00:00:00,4.197,9.002,9.002,9.002,9.002
2016-12-09 00:00:00,4.256,8.906,8.906,8.906,8.906
2016-12-12 00:00:00,4.244,8.588,8.588,8.588,8.588
2016-12-13 00:00:00,4.215,8.506,8.506,8.506,8.506
2016-12-14 00:00:00,4.227,8.51,8.51,8.51,8.51
2016-12-15 00:00:00,4.227,8.777,8.777,8.777,8.777
2016-12-16 00:00:00,4.242,8.73,8.73,8.73,8.73
2016-12-19 00:00:00,4.189,8.808,8.808,8.808,8.808
2016-12-20 00:00:00,4.197,9.054,9.054,9.054,9.054
2016-12-21 00:00:00,4.168,9.318,9.318,9.318,9.318
2016-12-22 00:00:00,4.176,8.882,8.882,8.882,8.882
2016-12-23 00:00:00,4.167,8.911,8.911,8.911,8.911
2016-12-27 00:00:00,4.212,9.015,9.015,9.015,9.015
2016-12-28 00:00:00,4.165,9.118,9.118,9.118,9.118
2016-12-29 00:00:00,4.128,9.138,9.138,9.138,9.138
2016-12-30 00:00:00,4.099,9.093,9.093,9.093,9.093
2017-01-03 00:00:00,4.062,8.926,8.926,8.926,8.926
2017-01-04 00:00:00,4.039,8.779,8.779,8.779,8.779
2017-01-05 00:00:00,3.964,8.608,8.608,8.608,8.608
2017-01-06 00:00:00,4.039,8.605,8.605,8.605,8.605
2017-01-09 00:00:00,3.985,8.727,8.727,8.727,8.727
2017-01-10 00:00:00,4.001,8.894,8.894,8.894,8.894
2017-01-11 00:00:00,3.987,8.965,8.965,8.965,8.965
2017-01-12 00:00:00,3.997,8.868,8.868,8.868,8.868
2017-01-13 00:00:00,4.033,8.926,8.926,8.926,8.926
2017-01-17 00:00:00,3.962,8.929,8.929,8.929,8.929
2017-01-18 00:00:00,4.054,9,9,9,9
2017-01-19 00:00:00,4.109,9.069,9.069,9.069,9.069
2017-01-20 00:00:00,4.116,9.029,9.029,9.029,9.029
2017-01-23 00:00:00,4.061,9.113,9.113,9.113,9.113
2017-01-24 00:00:00,4.115,9.079,9.079,9.079,9.079
2017-01-25 00:00:00,4.177,8.829,8.829,8.829,8.829
2017-02-06 00:00:00,4.027,8.847,8.847,8.847,8.847
2017-02-07 00:00:00,3.994,8.861,8.861,8.861,8.861
2017-02-08 00:00:00,3.924,8.983,8.983,8.983,8.983
2017-02-09 00:00:00,3.983,9.021,9.021,9.021,9.021
2017-02-10 00:00:00,3.993,8.941,8.941,8.941,8.941
2017-02-13 00:00:00,4.028,8.969,8.969,8.969,8.969
2017-02-14 00:00:00,4.07,8.909,8.909,8.909,8.909
2017-02-15 00:00:00,4.092,8.98,8.98,8.98,8.98
2017-02-16 00:00:00,4.066,9.029,9.029,9.029,9.029
2017-02-17 00:00:00,4.048,9.004,9.004,9.004,9.004
2017-02-21 00:00:00,4.089,8.934,8.934,8.934,8.934
2017-02-22 00:00:00,4.033,8.905,8.905,8.905,8.905
2017-02-23 00:00:00,4.001,8.644,8.644,8.644,8.644
2017-02-24 00:00:00,3.933,8.547,8.547,8.547,8.547
2017-02-27 00:00:00,3.974,8.644,8.644,8.644,8.644
2017-02-28 00:00:00,4.049,8.765,8.765,8.765,8.765
2017-03-01 00:00:00,4.072,8.6,8.6,8.6,8.6
2017-03-02 00:00:00,4.094,8.686,8.686,8.686,8.686
2017-03-03 00:00:00,4.085,8.71,8.71,8.71,8.71
2017-03-06 00:00:00,4.093,8.795,8.795,8.795,8.795
2017-03-07 00:00:00,4.102,8.995,8.995,8.995,8.995
2017-03-08 00:00:00,4.148,9.295,9.295,9.295,9.295
2017-03-09 00:00:00,4.208,9.474,9.474,9.474,9.474
2017-03-10 00:00:00,4.184,9.288,9.288,9.288,9.288
2017-03-13 00:00:00,4.233,9.178,9.178,9.178,9.178
2017-03-14 00:00:00,4.201,9.322,9.322,9.322,9.322
2017-03-15 00:00:00,4.108,8.857,8.857,8.857,8.857
2017-03-16 00:00:00,4.153,8.993,8.993,8.993,8.993
2017-03-17 00:00:00,4.121,8.926,8.926,8.926,8.926
2017-03-20 00:00:00,4.079,9.058,9.058,9.058,9.058
2017-03-21 00:00:00,4.029,9.259,9.259,9.259,9.259
2017-03-22 00:00:00,4.018,9.348,9.348,9.348,9.348
2017-03-23 00:00:00,4.043,9.27,9.27,9.27,9.27
2017-03-24 00:00:00,4.037,9.096,9.096,9.096,9.096
2017-03-27 00:00:00,3.993,9.186,9.186,9.186,9.186
2017-03-28 00:00:00,4.037,9.035,9.035,9.035,9.035
2017-03-29 00:00:00,3.991,8.723,8.723,8.723,8.723
2017-03-30 00:00:00,4.043,8.605,8.605,8.605,8.605
2017-03-31 00:00:00,4.019,8.603,8.603,8.603,8.603
2017-04-03 00:00:00,3.947,8.577,8.577,8.577,8.577
2017-04-04 00:00:00,3.989,8.581,8.581,8.581,8.581
2017-04-05 00:00:00,3.961,8.606,8.606,8.606,8.606
2017-04-06 00:00:00,3.997,8.604,8.604,8.604,8.604
2017-04-07 00:00:00,4.027,8.61,8.61,8.61,8.61
2017-04-10 00:00:00,4.009,8.571,8.571,8.571,8.571
2017-04-11 00:00:00,3.933,8.65,8.65,8.65,8.65
2017-04-12 00:00:00,3.885,8.645,8.645,8.645,8.645
2017-04-13 00:00:00,3.893,8.728,8.728,8.728,8.728
2017-04-17 00:00:00,3.895,8.792,8.792,8.792,8.792
2017-04-18 00:00:00,3.806,8.865,8.865,8.865,8.865
2017-04-19 00:00:00,3.842,9.057,9.057,9.057,9.057
2017-04-20 00:00:00,3.871,9.015,9.015,9.015,9.015
2017-04-21 00:00:00,3.88,9.094,9.094,9.094,9.094
2017-04-24 00:00:00,3.913,9.134,9.134,9.134,9.134
2017-04-25 00:00:00,3.986,8.941,8.941,8.941,8.941
2017-04-26 00:00:00,3.91,8.848,8.848,8.848,8.848
